Compound_SMILES,Compound_InchiKeys,Compound_Name,UniProt_Id,Entrez_Gene_Symbol,DiscoveRx_Gene_Symbol,spearman_median_ensemble_1,spearman_median_ensemble_2,spearman_median_ensemble_3,spearman_median_ensemble_4,spearman_median_ensemble_5,spearman_median_ensemble_6,spearman_median_ensemble_7,spearman_median_ensemble_8,spearman_median_ensemble_9,spearman_median_ensemble_10,spearman_median_ensemble_11,spearman_median_ensemble_12,spearman_median_ensemble_13,spearman_median_ensemble_14,spearman_median_ensemble_15,spearman_median_ensemble_16,spearman_median_ensemble_17,spearman_median_ensemble_18,spearman_median_ensemble_19,spearman_median_ensemble_20,spearman_median_ensemble_21,spearman_median_ensemble_22,spearman_median_ensemble_23,spearman_median_ensemble_24,spearman_median_ensemble_25,spearman_median_ensemble_26,spearman_median_ensemble_27,spearman_median_ensemble_28,spearman_median_ensemble_29,spearman_median_ensemble_30,spearman_median_ensemble_31,spearman_median_ensemble_32,spearman_median_ensemble_33,spearman_median_ensemble_34,spearman_median_ensemble_35,spearman_median_ensemble_36,spearman_median_ensemble_37,spearman_median_ensemble_38,spearman_median_ensemble_39,spearman_median_ensemble_40,spearman_median_ensemble_41,spearman_median_ensemble_42,spearman_median_ensemble_43,spearman_median_ensemble_44,spearman_median_ensemble_45,spearman_median_ensemble_46,spearman_median_ensemble_47,spearman_median_ensemble_48,spearman_median_ensemble_49,spearman_median_ensemble_50,spearman_median_ensemble_51,spearman_median_ensemble_52,spearman_median_ensemble_53,spearman_median_ensemble_54
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O00444,PLK4,PLK4,7.37800020045616,7.20012402372808,7.022247847,6.953790403351765,7.022247847,7.20012402372808,7.37800020045616,7.20012402372808,7.022247847,7.20012402372808,7.220893,7.29944660022808,7.37800020045616,7.29944660022808,7.37800020045616,7.388375126341005,7.39875005222585,7.388375126341005,7.37800020045616,7.29944660022808,7.220893,7.29944660022808,7.37800020045616,7.29944660022808,7.220893,7.2400444022979755,7.25919580459595,7.2400444022979755,7.25919580459595,7.290608167648315,7.32202053070068,7.35001036557842,7.37800020045616,7.35001036557842,7.32202053070068,7.35001036557842,7.32202053070068,7.35001036557842,7.37800020045616,7.35001036557842,7.37800020045616,7.35001036557842,7.32202053070068,7.290608167648315,7.25919580459595,7.2400444022979755,7.220893,7.2011762610000005,7.181459522,7.154510761,7.181459522,7.154510761,7.181459522,7.2011762610000005
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15075,DCLK1,DCAMKL1,6.80036406239339,6.601877393196695,6.403390724,6.2575011366780195,6.403390724,6.601877393196695,6.80036406239339,6.601877393196695,6.403390724,6.601877393196695,6.80036406239339,6.813598742393385,6.82683342239338,6.813598742393385,6.82683342239338,6.834689011196691,6.8425446,6.834689011196691,6.82683342239338,6.813598742393385,6.80036406239339,6.813598742393385,6.82683342239338,6.813598742393385,6.80036406239339,6.787182031196695,6.80036406239339,6.787182031196695,6.80036406239339,6.813598742393385,6.80036406239339,6.787182031196695,6.774,6.687890172211279,6.60178034442256,6.687890172211279,6.60178034442256,6.687890172211279,6.774,6.687890172211279,6.774,6.687890172211279,6.60178034442256,6.515539372650735,6.42929840087891,6.4163445624394555,6.403390724,6.4163445624394555,6.403390724,6.351155362,6.403390724,6.351155362,6.403390724,6.4163445624394555
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15197,EPHB6,EPHB6,8.16517041004137,7.383783323520685,6.602396237,6.600774751415,6.602396237,6.95172940565992,7.30106257431984,6.95172940565992,6.602396237,6.8744976184999995,6.975295,7.0609470000000005,7.121506214,7.048400607,7.121506214,7.134052607,7.146599,7.134052607,7.121506214,7.048400607,6.975295,7.048400607,7.121506214,7.048400607,7.121506214,7.134052607,7.146599,7.134052607,7.146599,7.134052607,7.12482595443726,7.12316608421863,7.121506214,7.096840607,7.072175,7.023735,6.975295,7.023735,7.072175,7.023735,7.072175,7.023735,6.975295,6.92251409050997,6.86973318101994,6.8576460263501,6.84555887168026,6.81286743584013,6.780176,6.7629252735000005,6.745674547,6.67787572564844,6.745674547,6.7629252735000005
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O94804,STK10,LOK,7.11441851623599,7.028718239617994,6.943017963,6.80668902544685,6.943017963,7.028718239617994,7.11441851623599,7.028718239617994,6.943017963,7.028718239617994,7.11441851623599,7.214036008117995,7.3136535,7.214036008117995,7.3136535,7.35834317591559,7.40303285183118,7.35834317591559,7.3136535,7.241804312999999,7.169955126,7.241804312999999,7.3136535,7.241804312999999,7.27095543756948,7.2923044687847405,7.3136535,7.2923044687847405,7.3136535,7.2923044687847405,7.3136535,7.2923044687847405,7.27095543756948,7.22405896878474,7.1771625,7.18123078698255,7.1771625,7.18123078698255,7.1852990739651,7.18123078698255,7.1852990739651,7.18123078698255,7.1771625,7.173558813,7.169955126,7.16477874960224,7.15960237320448,7.137010444720235,7.11441851623599,7.028718239617994,6.943017963,6.893475844,6.943017963,7.028718239617994
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P04629,NTRK1,TRKA,7.75283404323472,7.55474509911736,7.75283404323472,7.55474509911736,7.46827016297445,7.472028781487225,7.46827016297445,7.472028781487225,7.46827016297445,7.472028781487225,7.4757874,7.49936735,7.5229473,7.49936735,7.5229473,7.531478161,7.540009022,7.531478161,7.5229473,7.49936735,7.4757874,7.49936735,7.5229473,7.49936735,7.4757874,7.472028781487225,7.4757874,7.472028781487225,7.4757874,7.49936735,7.5229473,7.531478161,7.5229473,7.49936735,7.4757874,7.472028781487225,7.46827016297445,7.472028781487225,7.4757874,7.472028781487225,7.46827016297445,7.458860298025581,7.44945043307671,7.439038966538355,7.4286275,7.40191375,7.3752,7.40191375,7.3752,7.3687983500000005,7.3752,7.3687983500000005,7.3752,7.40191375
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P07332,FES,FES,6.97584410719752,7.02490757409876,7.073971041,7.02490757409876,7.073971041,7.312579944986895,7.55118884897379,7.312579944986895,7.073971041,7.2996682205,7.171489,7.3484272,7.5253654,7.3484272,7.5253654,7.5382771244868945,7.55118884897379,7.5382771244868945,7.5253654,7.3484272,7.5253654,7.5382771244868945,7.55118884897379,7.5382771244868945,7.5253654,7.3484272,7.5253654,7.3484272,7.5253654,7.3484272,7.171489,7.3484272,7.171489,7.122730020500001,7.073971041,7.122730020500001,7.073971041,7.122730020500001,7.171489,7.122730020500001,7.171489,7.122730020500001,7.073971041,7.02490757409876,6.97584410719752,6.97305480359876,6.9702655,6.79276804865072,6.61527059730144,6.60680793849752,6.61527059730144,6.60680793849752,6.61527059730144,6.79276804865072
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P08922,ROS1,ROS1,8.00454517574975,7.635820085374874,8.00454517574975,7.635820085374874,7.56820307875337,7.574130464376685,7.56820307875337,7.574130464376685,7.56820307875337,7.574130464376685,7.56820307875337,7.574130464376685,7.58005785,7.574130464376685,7.58005785,7.58023135,7.58040485,7.58023135,7.58005785,7.574130464376685,7.58005785,7.58023135,7.58040485,7.632475675,7.58040485,7.58023135,7.58040485,7.58023135,7.58040485,7.632475675,7.6845465,7.68666075,7.6845465,7.68666075,7.6845465,7.68666075,7.6845465,7.68666075,7.688775,7.68666075,7.6845465,7.632475675,7.58040485,7.58023135,7.58005785,7.574130464376685,7.56820307875337,7.546997839376685,7.5257926,7.5006809,7.4755692,7.39580861004155,7.4755692,7.5006809
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P15735,PHKG2,PHKG2,6.72042538002314,6.79881537651157,6.72042538002314,6.40921269001157,6.72042538002314,6.79881537651157,6.846249,6.78333719001157,6.72042538002314,6.78333719001157,6.72042538002314,6.78333719001157,6.846249,6.78333719001157,6.72042538002314,6.708610190011569,6.72042538002314,6.708610190011569,6.696795,6.616681384,6.536567768,6.616681384,6.696795,6.616681384,6.536567768,6.616681384,6.696795,6.616681384,6.696795,6.708610190011569,6.72042538002314,6.708610190011569,6.72042538002314,6.708610190011569,6.696795,6.708610190011569,6.696795,6.708610190011569,6.72042538002314,6.708610190011569,6.72042538002314,6.708610190011569,6.696795,6.6205412500000005,6.5442875,6.6205412500000005,6.5442875,6.540427634,6.536567768,6.489401884,6.536567768,6.489401884,6.536567768,6.540427634
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P16591,FER,FER,7.30459708694651,7.149323358973255,7.30459708694651,7.149323358973255,7.30459708694651,7.40337233155147,7.3726387,7.3386178934732555,7.30459708694651,7.3386178934732555,7.3726387,7.3951311,7.4176235,7.3951311,7.4176235,7.459885538078215,7.50214757615643,7.459885538078215,7.4176235,7.3951311,7.4176235,7.459885538078215,7.50214757615643,7.459885538078215,7.4176235,7.3951311,7.4176235,7.3951311,7.4176235,7.3951311,7.4176235,7.459885538078215,7.4176235,7.3951311,7.3726387,7.3951311,7.3726387,7.3951311,7.4176235,7.3951311,7.4176235,7.3951311,7.3726387,7.3386178934732555,7.30459708694651,7.288493793473255,7.2723905,7.23484675,7.197303,7.15339021853936,7.10947743707872,7.05176353403936,7.10947743707872,7.15339021853936
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P29376,LTK,LTK,8.35428153941788,7.96000941970894,8.002,7.7838686500000005,7.62093396427567,7.647393207137835,7.6505475,7.635740732137835,7.62093396427567,7.635740732137835,7.62093396427567,7.635740732137835,7.6505475,7.635740732137835,7.6505475,7.662199975,7.67385245,7.662199975,7.6505475,7.635740732137835,7.6505475,7.662199975,7.67385245,7.662199975,7.6505475,7.662199975,7.67385245,7.662199975,7.67385245,7.678747425,7.67385245,7.678747425,7.67385245,7.662199975,7.6505475,7.65407107678197,7.6505475,7.65407107678197,7.65759465356394,7.65407107678197,7.6505475,7.635740732137835,7.62093396427567,7.6129159700986495,7.60489797592163,7.585317637960815,7.5657373,7.585317637960815,7.5657373,7.5220995,7.4784617,7.43734985,7.4784617,7.5220995
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P42685,FRK,FRK,7.21990090390365,6.9519904599518245,7.106,6.8950400080000005,7.106,7.162950451951825,7.21990090390365,7.162950451951825,7.106,7.162950451951825,7.21990090390365,7.264935651951825,7.3099704,7.264935651951825,7.3099704,7.3918239907367,7.4736775814733996,7.3918239907367,7.3099704,7.264935651951825,7.21990090390365,7.264935651951825,7.3099704,7.264935651951825,7.21990090390365,7.162950451951825,7.21990090390365,7.162950451951825,7.21990090390365,7.162950451951825,7.21990090390365,7.24781251715143,7.21990090390365,7.162950451951825,7.106,7.103773190618259,7.10154638123652,7.103773190618259,7.106,7.103773190618259,7.106,7.103773190618259,7.10154638123652,7.072806643605929,7.04406690597534,7.02106725298767,6.9980676,6.9186833,6.839299,6.8347745,6.839299,6.8347745,6.839299,6.9186833
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P46734,MAP2K3,MEK3,5.97225606044722,6.28727627922361,6.21,6.09112803022361,6.21,6.406148249,6.602296498,6.406148249,6.21,6.406148249,6.602296498,6.608838249,6.61538,6.608838249,6.61538,6.707853599814075,6.80032719962815,6.707853599814075,6.61538,6.608838249,6.602296498,6.608838249,6.61538,6.608838249,6.61538,6.6492752323107,6.6831704646214,6.6492752323107,6.6831704646214,6.7391757323107,6.6831704646214,6.6492752323107,6.61538,6.608838249,6.602296498,6.608838249,6.602296498,6.608838249,6.61538,6.608838249,6.602296498,6.536758249,6.47122,6.4530337,6.4348474,6.4530337,6.4348474,6.41876866688843,6.40268993377686,6.34220042388843,6.281710914,6.247215454499999,6.281710914,6.34220042388843
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q05397,PTK2,FAK,6.68798504234929,6.962683813174644,7.237382584,6.962683813174644,7.237382584,7.3636715828723744,7.48996058174475,7.3636715828723744,7.237382584,7.320078442,7.237382584,7.320078442,7.4027743,7.320078442,7.4027743,7.4463674408723755,7.48996058174475,7.4463674408723755,7.4027743,7.320078442,7.237382584,7.320078442,7.4027743,7.320078442,7.237382584,7.207971792,7.237382584,7.207971792,7.237382584,7.320078442,7.4027743,7.4414198,7.4027743,7.320078442,7.237382584,7.207971792,7.178561,7.207971792,7.237382584,7.207971792,7.237382584,7.207971792,7.178561,7.1050305,7.0315,6.9123739125,6.793247825,6.786744586565165,6.78024134813033,6.763560966766625,6.74688058540292,6.717432813876105,6.74688058540292,6.763560966766625
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q07912,TNK2,TNK2,7.29993952763613,7.109581582318064,7.29993952763613,7.109581582318064,7.29993952763613,7.32353713082153,7.3048854,7.302412463818065,7.29993952763613,7.302412463818065,7.29993952763613,7.302412463818065,7.3048854,7.302412463818065,7.3048854,7.326010067003465,7.34713473400693,7.326010067003465,7.3048854,7.302412463818065,7.3048854,7.326010067003465,7.34713473400693,7.326010067003465,7.3048854,7.326010067003465,7.34713473400693,7.326010067003465,7.34713473400693,7.326010067003465,7.34713473400693,7.369557567003465,7.34713473400693,7.326010067003465,7.3048854,7.302412463818065,7.29993952763613,7.302412463818065,7.3048854,7.302412463818065,7.29993952763613,7.285101763818065,7.270264,7.259566483309635,7.24886896661927,7.259566483309635,7.24886896661927,7.237947483309635,7.227026,7.176466,7.125906,7.022564818499999,7.125906,7.176466
