Compound_SMILES,Compound_InchiKeys,Compound_Name,UniProt_Id,Entrez_Gene_Symbol,DiscoveRx_Gene_Symbol,rmse_rank_ensemble_54,rmse_rank_ensemble_53,rmse_rank_ensemble_52,rmse_rank_ensemble_51,rmse_rank_ensemble_50,rmse_rank_ensemble_49,rmse_rank_ensemble_48,rmse_rank_ensemble_47,rmse_rank_ensemble_46,rmse_rank_ensemble_45,rmse_rank_ensemble_44,rmse_rank_ensemble_43,rmse_rank_ensemble_42,rmse_rank_ensemble_41,rmse_rank_ensemble_40,rmse_rank_ensemble_39,rmse_rank_ensemble_38,rmse_rank_ensemble_37,rmse_rank_ensemble_36,rmse_rank_ensemble_35,rmse_rank_ensemble_34,rmse_rank_ensemble_33,rmse_rank_ensemble_32,rmse_rank_ensemble_31,rmse_rank_ensemble_30,rmse_rank_ensemble_29,rmse_rank_ensemble_28,rmse_rank_ensemble_27,rmse_rank_ensemble_26,rmse_rank_ensemble_25,rmse_rank_ensemble_24,rmse_rank_ensemble_23,rmse_rank_ensemble_22,rmse_rank_ensemble_21,rmse_rank_ensemble_20,rmse_rank_ensemble_19,rmse_rank_ensemble_18,rmse_rank_ensemble_17,rmse_rank_ensemble_16,rmse_rank_ensemble_15,rmse_rank_ensemble_14,rmse_rank_ensemble_13,rmse_rank_ensemble_12,rmse_rank_ensemble_11,rmse_rank_ensemble_10,rmse_rank_ensemble_9,rmse_rank_ensemble_8,rmse_rank_ensemble_7,rmse_rank_ensemble_6,rmse_rank_ensemble_5,rmse_rank_ensemble_4,rmse_rank_ensemble_3,rmse_rank_ensemble_2,rmse_rank_ensemble_1
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O00444,PLK4,PLK4,7.775420436205924,7.168012936030295,7.17800878485848,7.171585015659409,7.1843039280812055,7.182889995863794,7.18602031087963,7.1874249356402045,7.19624899822483,7.20683600641954,7.217636519918977,7.230872232986697,7.244990089189387,7.261625267146977,7.256817916378903,7.267288428646803,7.249134020091095,7.239685925752918,7.25120743158515,7.243062227454848,7.253282934143459,7.238885610193708,7.209470294238862,7.2085243167879005,7.204749234596263,7.195217788143596,7.192310494222534,7.17031311603284,7.18169907641182,7.155315624236527,7.136409085159723,7.17661658619154,7.115988275593974,7.098962410436616,7.112877943111551,7.150870307455298,7.164657731958828,7.1638627623532996,7.167116836947757,7.190094576864016,7.105100231291926,7.1620304811043765,7.190149984029435,7.187697387208035,7.242260117893194,7.226611124459929,7.193956945561801,7.229082939474093,7.167716374732204,7.092134114970197,7.024070761283062,6.884062188289308,6.896311997551402,7.022247847
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15075,DCLK1,DCAMKL1,7.1777677144529894,6.571789356174535,6.580634052983539,6.5752050064378675,6.587612342048547,6.58280830239565,6.585051599606288,6.581489082926291,6.588415664474538,6.597715081095366,6.608508304767361,6.628343197578861,6.639489090443568,6.652889142388236,6.659992043832755,6.674380483874873,6.656404365077244,6.640999319436338,6.655323219702589,6.6586394139556,6.6757749141286515,6.656848406470519,6.640800078810842,6.650147982169847,6.636026408137845,6.621891506804609,6.612830456410273,6.601667687054426,6.61236738199189,6.56816283063738,6.585804431893292,6.603773551910274,6.526023401085958,6.534134236839027,6.556522733608076,6.567655414059868,6.600162267425137,6.648900021304588,6.651306671467917,6.659977907761887,6.616579330003203,6.673379007214952,6.700958143704691,6.689662749232152,6.682166104719455,6.667699372952063,6.579235722347594,6.633709841348827,6.544844496315635,6.397775471582813,6.301921045199342,6.01544995972327,6.220421486878504,6.403390724
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15197,EPHB6,EPHB6,7.464275196689123,6.859261297709206,6.86885239338106,6.865724925619155,6.878920111858122,6.885310996592334,6.8888763954308265,6.889398634804894,6.897375996487736,6.911588478278688,6.92391101949742,6.9373687869129235,6.946886340413775,6.96702427901075,6.974142794884772,6.9900475179054835,6.974575322417335,6.961886018574313,6.968939570883551,6.966652434754191,6.978608526891918,6.9624385440886725,6.928330738597165,6.919831403497297,6.911429617239015,6.9079097792484765,6.914738398956361,6.905459359906516,6.91863809732763,6.902377164777632,6.904048291045202,6.9321415235233195,6.889800458479167,6.88328708199628,6.920583190381696,6.9366787803973216,6.966060159755445,6.9764876120213675,6.96412151620703,6.972086799656781,6.9630991657113235,7.020821788778894,7.055726588185619,7.062143208393377,7.1207337158061215,7.078765227926246,7.071041580610918,7.1296569602975834,7.066125381314684,7.014016732985528,6.739932524162708,6.582867778603774,6.574461652317757,6.602396237
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O94804,STK10,LOK,7.560820028890268,6.955282420574365,6.964948582585533,6.962017549284489,6.975473868062211,6.98219316693317,6.982303973658306,6.983137761452134,6.990329585669952,7.005122961281279,7.012139842241288,7.026344227998554,7.039074791986222,7.059569338059344,7.060003148735308,7.066193509710421,7.057020486845608,7.046882285251295,7.057061453542409,7.050713996233646,7.059520912703365,7.038748302389785,7.004189582862362,6.982217900960594,6.968212896423086,6.952965053673584,6.980624804068002,6.9849142870940515,6.9919311620140085,6.998405651250586,6.9936645711931185,7.024214341837564,6.996285388586574,6.98982549175038,7.024007814098943,7.056172498161473,7.069726014564175,7.064983716452761,7.054463655427982,7.083303223600594,7.027088396869803,7.06053290483721,7.080070950856389,7.061436350460888,7.1181632853463,7.068175632116059,7.023887450624323,7.065867018841775,7.0012970178851575,6.913089124717359,6.8651535553081615,6.739607067308176,6.688906261700934,6.943017963
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P04629,NTRK1,TRKA,7.755574171510331,7.154118972716208,7.161585756255006,7.162553568336659,7.170265554250455,7.164041967700286,7.1689846133752875,7.165518027989994,7.176835159407468,7.1873719275996155,7.1989888425618505,7.217011508367701,7.225257366270532,7.241235202460041,7.2506528198763025,7.263855839874943,7.261245330636989,7.249313976748722,7.264225969580896,7.252757304060465,7.264867699946194,7.254347465256298,7.234990778107978,7.2360473663253355,7.23348839247876,7.238255894471837,7.225189948081947,7.208966385840043,7.219398863693168,7.1876692694523125,7.213346539727495,7.252727890795131,7.199231143151917,7.184211228325614,7.217883600116683,7.246727188829062,7.296903065261109,7.3145878415765315,7.338321564168632,7.378499782612004,7.368784941145057,7.450696366765165,7.504714545222445,7.494574279256888,7.505185326301945,7.472133186399862,7.466347420989946,7.544551619959664,7.562559250244661,7.578912406636924,7.5375024931612575,7.5750703463522004,7.572789087570094,7.356656155
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P07332,FES,FES,7.57951625410355,6.977603953698509,6.986956067637312,6.987128829640633,7.0006532468057605,6.998614652407141,7.003659588986678,7.007378434300958,7.016133029383365,7.025364187274199,7.037243239779613,7.0517087854774045,7.057005167384988,7.074113948051873,7.084702847524864,7.103649208486675,7.090005255436851,7.0780046243125465,7.095688336974362,7.102985262139099,7.1198872114678435,7.109878682832138,7.088949706692492,7.098329694382213,7.093553678065904,7.0807743239293925,7.103086192592541,7.091685963143578,7.114892720296517,7.0773216935237535,7.101230289018412,7.137907940031885,7.080658767702753,7.039901982634409,7.076813583096585,7.10957677489586,7.14634995181436,7.196338872256982,7.226017090601486,7.2709860594432705,7.203064111379708,7.294287597624208,7.346265251679562,7.360208440589064,7.340618079752536,7.291601068072411,7.264984337209368,7.405275741954097,7.362011655267355,7.316297445490818,7.39735776413208,7.366731083106918,7.559405945925234,7.073971041
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P08922,ROS1,ROS1,7.922839737110653,7.318736307721802,7.328393718112228,7.328969437621583,7.3434208801642855,7.347650202885933,7.35278747312317,7.3545143883680995,7.3657215181865565,7.345989285517221,7.359808907087272,7.373764975975831,7.383673758609532,7.3543985327654,7.378612344692005,7.39658013968862,7.384288144310576,7.3781389513325575,7.393262169843963,7.372742850793582,7.394974550531636,7.38586135520561,7.358546881677862,7.365784056991475,7.368458919917885,7.3671721453471495,7.358459181168519,7.345097966075069,7.370990206158574,7.347892871852477,7.378573739168203,7.425140657510332,7.371289578137637,7.295264205928268,7.322934881817522,7.371170924611222,7.403077404813913,7.470793504174673,7.4786971713728985,7.526787754470123,7.454954136573589,7.542538217422175,7.603512722421713,7.609713029034205,7.602685298281691,7.592215630410894,7.581702709616095,7.716737911881149,7.754201012755891,7.787020301121424,7.735228664305156,7.78652944610063,7.886702147009346,7.267094995
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P15735,PHKG2,PHKG2,7.161384877357919,6.55674520936778,6.565444726528188,6.557776458225,6.56219086995336,6.557980634817147,6.560233794365578,6.56080070209417,6.567573371256871,6.576444495086955,6.586996553695955,6.602621920976035,6.612358899302331,6.627158022685259,6.6085300287125,6.618119999357693,6.598723539750371,6.5820141419844225,6.596334313792428,6.556031652131571,6.574183125317773,6.552713064019266,6.536077214475158,6.527195537995039,6.512245715979748,6.488284900806898,6.476540845245493,6.463197100007578,6.467539508163475,6.4961037571508475,6.4880069493889705,6.503976425118007,6.52969700610419,6.529175917036482,6.561134366309217,6.572743215076261,6.6063875761785145,6.620519089569314,6.644336407623418,6.645844806343011,6.573721407205749,6.615996530675998,6.621728503240246,6.615739895892065,6.680587886638026,6.655631099668497,6.576772468442632,6.6360837114142335,6.603436676294114,6.510375193364928,6.460363244160592,6.289482358754716,6.4912438331028035,6.877205373
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P16591,FER,FER,7.674820934399374,7.074920608879631,7.084346942006701,7.082552611260264,7.097152157312941,7.104285327916046,7.109414249329636,7.10899199726739,7.118303014505582,7.12753063589402,7.139622359676496,7.155602984161338,7.159742856152228,7.176187615203009,7.199530940429706,7.21958514307179,7.208371706666416,7.1996983718415875,7.21989212351065,7.213824163708798,7.226612680277526,7.216526939277389,7.193706618912003,7.198802484595123,7.190824900485658,7.183195303082331,7.2085610603527925,7.196844988654081,7.218512976496818,7.188177953942921,7.211848646572368,7.248036653241027,7.196347747184301,7.150449950293665,7.188091609052054,7.228077743644828,7.272074466442404,7.3186646088354586,7.329348899866044,7.379648051773528,7.302220529594492,7.398094399327463,7.452759685753157,7.455562758085969,7.420241669915832,7.365679406665558,7.333204022275993,7.445234201397037,7.456511172487838,7.446097319802854,7.479787851435317,7.462396138830188,7.554735327794392,6.994049631
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P29376,LTK,LTK,7.8042566785260234,7.197252960184199,7.206920192634807,7.2075459678734175,7.221668126430362,7.224462915976043,7.229426913623487,7.224059551506373,7.233492454482253,7.24265093831696,7.2542249462352615,7.26577326340406,7.2866868686798405,7.298793115949891,7.319711047705905,7.336321388889487,7.325492323079429,7.3100590073829945,7.3309261910457755,7.3269065277927705,7.355544190781872,7.349303777708841,7.325438474577146,7.311447341441895,7.309730062281224,7.297146991425215,7.288176326541124,7.2712416027982245,7.296912246800403,7.285956840759652,7.31338163263789,7.349093827811966,7.317237939086766,7.272545142774114,7.299270238185091,7.339567273607873,7.366438780140087,7.42953718204825,7.461672364800669,7.5128276615768765,7.438371297701801,7.554010483448234,7.62503691520223,7.636730299717436,7.626584844847875,7.56733651765434,7.552554932040725,7.706682599302848,7.715402614728534,7.723233222696603,7.572983623477252,7.586744504402516,7.781830039252338,7.5657373
